State,Year,Quarter,Exports_Manufactured_Commodities,Exports_Non_Manufactured_Commodities,Exports_Total_Commodities
Wyoming,2019,3,304.2,15.7,319.9
District of Columbia,2019,3,921,77.9,998.9
Alabama,2019,2,4275.9,606.3,4882.2
Alaska,2019,2,134.2,699.9,834.1
Arizona,2019,2,3476.9,848.6,4325.5
Arkansas,2019,2,975.2,128.9,1104.1
California,2019,2,27958,5262.3,33220.3
Colorado,2019,2,1711.6,109.8,1821.4
Connecticut,2019,2,3284.4,308.4,3592.8
Delaware,2019,2,927.9,61,988.9
Florida,2019,2,10385.9,1072.1,11458
Georgia,2019,2,8025.6,1027.7,9053.3
Hawaii,2019,2,53.6,31.1,84.7
Idaho,2019,2,497.9,117.6,615.5
Illinois,2019,2,11859.3,1009.4,12868.7
Indiana,2019,2,9339.3,165.4,9504.7
Iowa,2019,2,3014.1,353.5,3367.6
Kansas,2019,2,2260.7,596.2,2856.9
Kentucky,2019,2,6492.9,87.1,6580
Louisiana,2019,2,9680.8,5576.5,15257.3
Maine,2019,2,434.7,176.6,611.3
Maryland,2019,2,2154.4,655.8,2810.2
Massachusetts,2019,2,5489.1,292.5,5781.6
Michigan,2019,2,12201.4,691.3,12892.7
Minnesota,2019,2,4691.9,401.7,5093.6
Mississippi,2019,2,2465.4,217.2,2682.6
Missouri,2019,2,2843.7,267.9,3111.6
Montana,2019,2,232.1,100,332.1
Nebraska,2019,2,1515.6,375.8,1891.4
Nevada,2019,2,1252.8,125.1,1377.9
New Hampshire,2019,2,1094.3,43.1,1137.4
New Jersey,2019,2,6008.8,1095.4,7104.2
New Mexico,2019,2,393.7,60.3,454
New York,2019,2,8652.1,3668.6,12320.7
North Carolina,2019,2,7126.3,338.2,7464.5
North Dakota,2019,2,921.3,723.9,1645.2
Ohio,2019,2,11010.9,870.5,11881.4
Oklahoma,2019,2,1239.1,110.4,1349.5
Oregon,2019,2,4715.1,517.8,5232.9
Pennsylvania,2019,2,8181.7,1727.6,9909.3
Rhode Island,2019,2,393.7,212.4,606.1
South Carolina,2019,2,9763.2,157.6,9920.8
South Dakota,2019,2,308.2,24.9,333.1
Tennessee,2019,2,5805.8,432,6237.8
Texas,2019,2,46851.8,21760.4,68612.2
Utah,2019,2,3858.5,205.9,4064.4
Vermont,2019,2,547.7,17.9,565.6
Virginia,2019,2,3259.6,1128.6,4388.2
Washington,2019,2,10048.1,3046.4,13094.5
West Virginia,2019,2,874.9,546.7,1421.6
Wisconsin,2019,2,4715.9,326.2,5042.1
Wyoming,2019,2,288.8,13.2,302
District of Columbia,2019,2,751.2,69.3,820.5
Alabama,2019,1,3769.4,519.3,4288.7
Alaska,2019,1,85,717.9,802.9
Arizona,2019,1,3609.2,901.4,4510.6
Arkansas,2019,1,976.3,142.6,1118.9
California,2019,1,28156,5454.4,33610.4
Colorado,2019,1,1562.4,152.7,1715.1
Connecticut,2019,1,3630,306.3,3936.3
Delaware,2019,1,871.5,28.2,899.7
Florida,2019,1,10038.7,1010.4,11049.1
Georgia,2019,1,7631.7,930.1,8561.8
Hawaii,2019,1,76.7,33.9,110.6
Idaho,2019,1,678.2,133,811.2
Illinois,2019,1,11680.8,922.9,12603.7
Indiana,2019,1,8765.5,230.2,8995.7
Iowa,2019,1,2913.6,432.8,3346.4
Kansas,2019,1,2020.8,475.2,2496
Kentucky,2019,1,6126.1,57.1,6183.2
Louisiana,2019,1,9253.3,6252.4,15505.7
Maine,2019,1,397.1,166.1,563.2
Maryland,2019,1,1927.8,779.2,2707
Massachusetts,2019,1,5286.5,351.5,5638
Michigan,2019,1,11762.9,719.6,12482.5
Minnesota,2019,1,4547.4,223,4770.4
Mississippi,2019,1,2136,277.2,2413.2
Missouri,2019,1,3117.9,263.2,3381.1
Montana,2019,1,194.5,95.7,290.2
Nebraska,2019,1,1444.6,439.8,1884.4
Nevada,2019,1,1316.7,139,1455.7
New Hampshire,2019,1,1019.4,54.9,1074.3
New Jersey,2019,1,5920.3,1019.8,6940.1
New Mexico,2019,1,544.1,79.5,623.6
New York,2019,1,9174.5,3345.9,12520.4
North Carolina,2019,1,7364.6,518,7882.6
North Dakota,2019,1,875.1,737.1,1612.2
Ohio,2019,1,10601,850.1,11451.1
Oklahoma,2019,1,1091.3,72.8,1164.1
Oregon,2019,1,4682.1,554,5236.1
Pennsylvania,2019,1,8069.2,1447.2,9516.4
Rhode Island,2019,1,358.4,194.1,552.5
South Carolina,2019,1,8429.8,135.7,8565.5
South Dakota,2019,1,265.3,27.6,292.9
Tennessee,2019,1,5871.4,402.3,6273.7
Texas,2019,1,45617.9,18954.9,64572.8
Utah,2019,1,3898.2,243,4141.2
Vermont,2019,1,534.4,20.2,554.6
Virginia,2019,1,3213.8,757.5,3971.3
Washington,2019,1,12582.2,3566.3,16148.5
West Virginia,2019,1,785.7,744.6,1530.3
Wisconsin,2019,1,4639.5,310.6,4950.1
Wyoming,2019,1,297.6,21.8,319.4
District of Columbia,2019,1,856.1,67.4,923.5
Alabama,2018,4,3924.6,616,4540.6
Alaska,2018,4,78.6,747,825.6
Arizona,2018,4,3524.4,737.9,4262.3
Arkansas,2018,4,980.6,133.8,1114.4
California,2018,4,27374.9,6380.9,33755.8
Colorado,2018,4,1633.3,114.6,1747.9
Connecticut,2018,4,3817.4,325.9,4143.3
Delaware,2018,4,1096.1,28.7,1124.8
Florida,2018,4,10685.5,1038.8,11724.3
Georgia,2018,4,8081.9,761,8842.9
Hawaii,2018,4,83.5,42,125.5
Idaho,2018,4,585.1,97.3,682.4
Illinois,2018,4,12035.4,992.9,13028.3
Indiana,2018,4,8721.7,355.9,9077.6
Iowa,2018,4,2752.9,444.6,3197.5
Kansas,2018,4,2222.8,601.4,2824.2
Kentucky,2018,4,5964,243.4,6207.4
Louisiana,2018,4,10332.8,7886.6,18219.4
Maine,2018,4,418.8,264.1,682.9
Maryland,2018,4,2013.1,640.9,2654
Massachusetts,2018,4,5478.9,358.4,5837.3
Michigan,2018,4,11690.8,692.2,12383
Minnesota,2018,4,4762.7,347.7,5110.4
Mississippi,2018,4,2192.2,116.7,2308.9
Missouri,2018,4,2628.4,308.8,2937.2
Montana,2018,4,228.3,115.5,343.8
Nebraska,2018,4,1480.4,390.8,1871.2
Nevada,2018,4,1606.4,182.1,1788.5
New Hampshire,2018,4,1063,59.2,1122.2
New Jersey,2018,4,5655.6,968.5,6624.1
New Mexico,2018,4,417,39.6,456.6
New York,2018,4,9316.1,3023,12339.1
North Carolina,2018,4,6930.5,309.6,7240.1
North Dakota,2018,4,787.6,1035.4,1823
Ohio,2018,4,10531.4,1210.5,11741.9
Oklahoma,2018,4,1120.8,65.3,1186.1
Oregon,2018,4,4263.2,591.8,4855
Pennsylvania,2018,4,7938.3,1290,9228.3
Rhode Island,2018,4,357.6,177.3,534.9
South Carolina,2018,4,8894.6,152.1,9046.7
South Dakota,2018,4,292.1,33.7,325.8
Tennessee,2018,4,5795.7,302.9,6098.6
Texas,2018,4,49424.9,18333.3,67758.2
Utah,2018,4,3635.7,190.8,3826.5
Vermont,2018,4,549.3,19.1,568.4
Virginia,2018,4,3296.3,838.2,4134.5
Washington,2018,4,16311.7,3311.3,19623
West Virginia,2018,4,834.7,1082.5,1917.2
Wisconsin,2018,4,4793.8,296.8,5090.6
Wyoming,2018,4,345.5,16.5,362
District of Columbia,2018,4,903.4,70.9,974.3
Alabama,2018,3,4722.6,472.2,5194.8
Alaska,2018,3,66.1,2374.3,2440.4
Arizona,2018,3,3386.2,638,4024.2
Arkansas,2018,3,1115.8,120.7,1236.5
California,2018,3,28101.7,4845.2,32946.9
Colorado,2018,3,1666.6,131.4,1798
Connecticut,2018,3,3465.1,329.7,3794.8
Delaware,2018,3,852.7,34.2,886.9
Florida,2018,3,10432.5,868.8,11301.3
Georgia,2018,3,8185.1,763.1,8948.2
Hawaii,2018,3,123,35.4,158.4
Idaho,2018,3,589,92.7,681.7
Illinois,2018,3,12216.1,1036.8,13252.9
Indiana,2018,3,8540.3,320.8,8861.1
Iowa,2018,3,2723.5,593.9,3317.4
Kansas,2018,3,2235.9,370,2605.9
Kentucky,2018,3,5946.8,96.4,6043.2
Louisiana,2018,3,10616.3,6829.8,17446.1
Maine,2018,3,392.7,329.6,722.3
Maryland,2018,3,1889.7,674.2,2563.9
Massachusetts,2018,3,5154,369.1,5523.1
Michigan,2018,3,11954.1,553.7,12507.8
Minnesota,2018,3,4723,411.6,5134.6
Mississippi,2018,3,2378.5,110.3,2488.8
Missouri,2018,3,2884.1,342.5,3226.6
Montana,2018,3,216.9,118,334.9
Nebraska,2018,3,1521.6,278.2,1799.8
Nevada,2018,3,2181.7,155.6,2337.3
New Hampshire,2018,3,1067.7,57.6,1125.3
New Jersey,2018,3,5695.7,1004.5,6700.2
New Mexico,2018,3,531.8,43.4,575.2
New York,2018,3,10213.5,3073.4,13286.9
North Carolina,2018,3,6613.8,261.3,6875.1
North Dakota,2018,3,1105.2,506.4,1611.6
Ohio,2018,3,11072.5,873.4,11945.9
Oklahoma,2018,3,1148.2,114.2,1262.4
Oregon,2018,3,3933.9,563.5,4497.4
Pennsylvania,2018,3,8039.9,1344.7,9384.6
Rhode Island,2018,3,402.1,157.2,559.3
South Carolina,2018,3,6399.5,175.8,6575.3
South Dakota,2018,3,327.7,27.7,355.4
Tennessee,2018,3,6119.7,369.5,6489.2
Texas,2018,3,48658.4,16834.9,65493.3
Utah,2018,3,3024.1,232.1,3256.2
Vermont,2018,3,571.1,19.4,590.5
Virginia,2018,3,3262.6,665,3927.6
Washington,2018,3,15415.7,3601.1,19016.8
West Virginia,2018,3,805.8,1175.3,1981.1
Wisconsin,2018,3,4706.1,354.7,5060.8
Wyoming,2018,3,305,17.8,322.8
District of Columbia,2018,3,437.3,52,489.3
Alabama,2018,2,4947.8,542.3,5490.1
Alaska,2018,2,59,674.6,733.6
Arizona,2018,2,3348.6,622.2,3970.8
Arkansas,2018,2,1500.4,149.7,1650.1
California,2018,2,29134.3,5408.5,34542.8
Colorado,2018,2,1758.2,147.4,1905.6
Connecticut,2018,2,3832.6,328.1,4160.7
Delaware,2018,2,1023.2,20.1,1043.3
Florida,2018,2,10591.3,999.2,11590.5
Georgia,2018,2,7769.1,1091.4,8860.5
Hawaii,2018,2,110.1,39,149.1
Idaho,2018,2,561.9,119,680.9
Illinois,2018,2,13333.3,1005.3,14338.6
Indiana,2018,2,9245.1,273.3,9518.4
Iowa,2018,2,3095.3,824.9,3920.2
Kansas,2018,2,2279.9,600.8,2880.7
Kentucky,2018,2,6428.1,76.5,6504.6
Louisiana,2018,2,10000.4,5019.7,15020.1
Maine,2018,2,396.1,205.6,601.7
Maryland,2018,2,2136.2,638.9,2775.1
Massachusetts,2018,2,5800.3,385.2,6185.5
Michigan,2018,2,13048.9,559.8,13608.7
Minnesota,2018,2,4908.5,419.7,5328.2
Mississippi,2018,2,2239.4,205.2,2444.6
Missouri,2018,2,3290.5,335.4,3625.9
Montana,2018,2,238.4,110,348.4
Nebraska,2018,2,1657.1,398.1,2055.2
Nevada,2018,2,2293.7,151.8,2445.5
New Hampshire,2018,2,1031.1,62.6,1093.7
New Jersey,2018,2,6374.3,1132.7,7507
New Mexico,2018,2,499,46.7,545.7
New York,2018,2,9195.9,3504.8,12700.7
North Carolina,2018,2,7548.2,465.7,8013.9
North Dakota,2018,2,1190.4,472.3,1662.7
Ohio,2018,2,11265.9,881.5,12147.4
Oklahoma,2018,2,1124.3,127.4,1251.7
Oregon,2018,2,4092.3,642.8,4735.1
Pennsylvania,2018,2,7984.4,1323.5,9307.9
Rhode Island,2018,2,415.3,160.5,575.8
South Carolina,2018,2,8714.1,204.3,8918.4
South Dakota,2018,2,333.2,34.4,367.6
Tennessee,2018,2,6233,555.3,6788.3
Texas,2018,2,49213.2,16919.3,66132.5
Utah,2018,2,3618.4,177.7,3796.1
Vermont,2018,2,600.4,23.4,623.8
Virginia,2018,2,3504.8,865.8,4370.6
Washington,2018,2,14590.7,3899,18489.7
West Virginia,2018,2,885.8,1234.4,2120.2
Wisconsin,2018,2,5179.7,413.6,5593.3
Wyoming,2018,2,291.6,18.2,309.8
District of Columbia,2018,2,355.2,97.9,453.1
Alabama,2018,1,4702.9,586.4,5289.3
Alaska,2018,1,79.3,635.8,715.1
Arizona,2018,1,3222.9,700.5,3923.4
Arkansas,2018,1,1107.6,186,1293.6
California,2018,1,27999.5,5850.6,33850.1
Colorado,2018,1,1803.8,121.8,1925.6
Connecticut,2018,1,2946.5,285.2,3231.7
Delaware,2018,1,923.6,14.8,938.4
Florida,2018,1,10409.5,1047.5,11457
Georgia,2018,1,7320.7,1031.7,8352.4
Hawaii,2018,1,135.6,36.5,172.1
Idaho,2018,1,614,134.3,748.3
Illinois,2018,1,12217.3,893.1,13110.4
Indiana,2018,1,8596.9,221.6,8818.5
Iowa,2018,1,2966.3,510.8,3477.1
Kansas,2018,1,1997.5,533.8,2531.3
Kentucky,2018,1,6125.3,76.4,6201.7
Louisiana,2018,1,9269.1,5659,14928.1
Maine,2018,1,378.8,292.6,671.4
Maryland,2018,1,1985.3,325.8,2311.1
Massachusetts,2018,1,5158.3,431.6,5589.9
Michigan,2018,1,11903.1,641.7,12544.8
Minnesota,2018,1,4444,280.9,4724.9
Mississippi,2018,1,2156.9,310.4,2467.3
Missouri,2018,1,3367.2,305.8,3673
Montana,2018,1,194.1,97.7,291.8
Nebraska,2018,1,1516.8,386.9,1903.7
Nevada,2018,1,2177.8,153.6,2331.4
New Hampshire,2018,1,1009.1,54,1063.1
New Jersey,2018,1,5761.2,987.3,6748.5
New Mexico,2018,1,585.4,51.3,636.7
New York,2018,1,10601.1,3098.5,13699.6
North Carolina,2018,1,7120.7,584.7,7705.4
North Dakota,2018,1,1015.7,536.2,1551.9
Ohio,2018,1,10834.9,859.9,11694.8
Oklahoma,2018,1,1089.9,127.9,1217.8
Oregon,2018,1,4154.2,689.2,4843.4
Pennsylvania,2018,1,7428.4,1120.7,8549.1
Rhode Island,2018,1,405.5,137.2,542.7
South Carolina,2018,1,8189.9,194.7,8384.6
South Dakota,2018,1,324.9,15.4,340.3
Tennessee,2018,1,5895.7,408.5,6304.2
Texas,2018,1,45241.3,14377.6,59618.9
Utah,2018,1,2825.1,175.9,3001
Vermont,2018,1,522.7,19.8,542.5
Virginia,2018,1,3544.5,755.7,4300.2
Washington,2018,1,13272.3,3580.5,16852.8
West Virginia,2018,1,827.7,996.2,1823.9
Wisconsin,2018,1,4614.7,352.9,4967.6
Wyoming,2018,1,320.1,19.7,339.8
District of Columbia,2018,1,465.5,120.4,585.9
Alabama,2017,4,4908.4,469.8,5378.2
Alaska,2017,4,104.9,859.6,964.5
Arizona,2017,4,3220.3,614.5,3834.8
Arkansas,2017,4,1086.4,104.2,1190.6
California,2017,4,27782.3,6874.6,34656.9
Colorado,2017,4,1778.3,95.5,1873.8
Connecticut,2017,4,3181.4,284.6,3466
Delaware,2017,4,912.5,23.5,936
Florida,2017,4,11190.8,993.1,12183.9
Georgia,2017,4,7530.8,892.7,8423.5
Hawaii,2017,4,106.9,32.4,139.3
Idaho,2017,4,561.8,106.8,668.6
Illinois,2017,4,12128.5,1467.5,13596
Indiana,2017,4,8179.1,246.8,8425.9
Iowa,2017,4,2753,387.8,3140.8
Kansas,2017,4,2236.3,526.2,2762.5
Kentucky,2017,4,5999.4,201.9,6201.3
Louisiana,2017,4,10105.4,7100.1,17205.5
Maine,2017,4,396.6,311.9,708.5
Maryland,2017,4,1735.1,236.9,1972
Massachusetts,2017,4,5748.3,405.7,6154
Michigan,2017,4,12607.3,577.2,13184.5
Minnesota,2017,4,4443.4,334.3,4777.7
Mississippi,2017,4,2188.3,250.7,2439
Missouri,2017,4,2861.8,347.9,3209.7
Montana,2017,4,201.2,158.3,359.5
Nebraska,2017,4,1481.5,334.7,1816.2
Nevada,2017,4,2323.6,138.9,2462.5
New Hampshire,2017,4,1077.1,62.5,1139.6
New Jersey,2017,4,5941.4,985.1,6926.5
New Mexico,2017,4,563.2,42.3,605.5
New York,2017,4,9678.5,2915.2,12593.7
North Carolina,2017,4,7193.5,432.8,7626.3
North Dakota,2017,4,907.4,659.7,1567.1
Ohio,2017,4,10266,1207.1,11473.1
Oklahoma,2017,4,1069.8,57.7,1127.5
Oregon,2017,4,4078.7,674.1,4752.8
Pennsylvania,2017,4,7258.9,1323.5,8582.4
Rhode Island,2017,4,434.2,173,607.2
South Carolina,2017,4,7773.5,203.3,7976.8
South Dakota,2017,4,338.7,21.7,360.4
Tennessee,2017,4,6103.3,242.1,6345.4
Texas,2017,4,45136.7,14220.6,59357.3
Utah,2017,4,2020.3,180.6,2200.9
Vermont,2017,4,563.7,21.5,585.2
Virginia,2017,4,3256.7,782.7,4039.4
Washington,2017,4,15873.9,4335,20208.9
West Virginia,2017,4,795.2,814.3,1609.5
Wisconsin,2017,4,4643.9,331.8,4975.7
Wyoming,2017,4,284,19.4,303.4
District of Columbia,2017,4,376.5,24.4,400.9
Alabama,2017,3,4602.8,431.7,5034.5
Alaska,2017,3,97.2,2417.5,2514.7
Arizona,2017,3,3106.4,530.4,3636.8
Arkansas,2017,3,1031.4,119.2,1150.6
California,2017,3,26726.8,5054.6,31781.4
Colorado,2017,3,1700.3,102,1802.3
Connecticut,2017,3,3375.7,266.2,3641.9
Delaware,2017,3,907.7,20.8,928.5
Florida,2017,3,9850.8,798.1,10648.9
Georgia,2017,3,7490.5,711.5,8202
Hawaii,2017,3,102.1,31.5,133.6
Idaho,2017,3,546.4,76.9,623.3
Illinois,2017,3,11987.2,1068.4,13055.6
Indiana,2017,3,8266.3,285.9,8552.2
Iowa,2017,3,2683.5,446.2,3129.7
Kansas,2017,3,2022,458.5,2480.5
Kentucky,2017,3,6120.1,112.4,6232.5
Louisiana,2017,3,8663,4552.3,13215.3
Maine,2017,3,402.8,309,711.8
Maryland,2017,3,1715.2,228.8,1944
Massachusetts,2017,3,5933.4,370.9,6304.3
Michigan,2017,3,12358.5,639.2,12997.7
Minnesota,2017,3,4481.6,390.9,4872.5
Mississippi,2017,3,2276.5,70.9,2347.4
Missouri,2017,3,3042.3,272.9,3315.2
Montana,2017,3,231,129.8,360.8
Nebraska,2017,3,1434.2,263.8,1698
Nevada,2017,3,2300.5,134.9,2435.4
New Hampshire,2017,3,1064.6,49.5,1114.1
New Jersey,2017,3,5940.8,906.8,6847.6
New Mexico,2017,3,491.8,40.5,532.3
New York,2017,3,8858.9,3041.5,11900.4
North Carolina,2017,3,7002.3,269.7,7272
North Dakota,2017,3,902.7,474.5,1377.2
Ohio,2017,3,10019.9,878.9,10898.8
Oklahoma,2017,3,1023.3,78.5,1101.8
Oregon,2017,3,4139.2,542.2,4681.4
Pennsylvania,2017,3,7474.6,1179.7,8654.3
Rhode Island,2017,3,406.8,135.1,541.9
South Carolina,2017,3,7728,139,7867
South Dakota,2017,3,300,27.1,327.1
Tennessee,2017,3,5997.1,316.9,6314
Texas,2017,3,41200,9147.9,50347.9
Utah,2017,3,2535.1,143.6,2678.7
Vermont,2017,3,517.3,21.1,538.4
Virginia,2017,3,3069.1,615.8,3684.9
Washington,2017,3,15386.5,3000.9,18387.4
West Virginia,2017,3,789.6,878.4,1668
Wisconsin,2017,3,4857.7,353.8,5211.5
Wyoming,2017,3,283,12.4,295.4
District of Columbia,2017,3,426.7,30,456.7
Alabama,2017,2,5073.4,468.6,5542
Alaska,2017,2,106.6,644.5,751.1
Arizona,2017,2,2970.6,712.2,3682.8
Arkansas,2017,2,1028.9,131.4,1160.3
California,2017,2,26691.6,5221.5,31913.1
Colorado,2017,2,1679.4,103.9,1783.3
Connecticut,2017,2,2848.8,253.3,3102.1
Delaware,2017,2,800.4,19.3,819.7
Florida,2017,2,9837.4,844,10681.4
Georgia,2017,2,7079.3,799.2,7878.5
Hawaii,2017,2,391.6,30.4,422
Idaho,2017,2,635.7,99.1,734.8
Illinois,2017,2,12579.9,908.9,13488.8
Indiana,2017,2,8807.6,264,9071.6
Iowa,2017,2,2835.9,505.2,3341.1
Kansas,2017,2,2217.6,607.3,2824.9
Kentucky,2017,2,6266.6,88.1,6354.7
Louisiana,2017,2,8174.9,3511.2,11686.1
Maine,2017,2,394.2,149.9,544.1
Maryland,2017,2,1808.8,202.7,2011.5
Massachusetts,2017,2,5360.2,371.2,5731.4
Michigan,2017,2,12970.9,773.9,13744.8
Minnesota,2017,2,4263,406.2,4669.2
Mississippi,2017,2,2121.9,159.6,2281.5
Missouri,2017,2,3064.6,285.7,3350.3
Montana,2017,2,192.7,132.6,325.3
Nebraska,2017,2,1368.1,379,1747.1
Nevada,2017,2,2858.9,122.8,2981.7
New Hampshire,2017,2,989.1,44.2,1033.3
New Jersey,2017,2,6144.1,785.2,6929.3
New Mexico,2017,2,430.2,51.9,482.1
New York,2017,2,9203.4,2943.9,12147.3
North Carolina,2017,2,7468.5,402.3,7870.8
North Dakota,2017,2,458.5,645.9,1104.4
Ohio,2017,2,10325.4,719.2,11044.6
Oklahoma,2017,2,1064.1,80.1,1144.2
Oregon,2017,2,4331.4,587.4,4918.8
Pennsylvania,2017,2,7385.7,1144.5,8530.2
Rhode Island,2017,2,409,120.6,529.6
South Carolina,2017,2,7646.1,159.7,7805.8
South Dakota,2017,2,310.5,24.3,334.8
Tennessee,2017,2,6063.1,415.6,6478.7
Texas,2017,2,43032.1,8562.3,51594.4
Utah,2017,2,3168.6,135.6,3304.2
Vermont,2017,2,463.3,16.4,479.7
Virginia,2017,2,3168.2,596.2,3764.4
Washington,2017,2,15256.6,3193.6,18450.2
West Virginia,2017,2,969.4,856.9,1826.3
Wisconsin,2017,2,5016.8,413.9,5430.7
Wyoming,2017,2,248.1,16.4,264.5
District of Columbia,2017,2,331,18.4,349.4
Alabama,2017,1,4623,572,5195
Alaska,2017,1,95.3,567.8,663.1
Arizona,2017,1,3156,615.6,3771.6
Arkansas,2017,1,923,157.9,1080.9
California,2017,1,27453.7,4904.2,32357.9
Colorado,2017,1,1649.5,106.6,1756.1
Connecticut,2017,1,2804.2,243,3047.2
Delaware,2017,1,792.2,25.3,817.5
Florida,2017,1,9666.6,900.1,10566.7
Georgia,2017,1,6948.8,890,7838.8
Hawaii,2017,1,149.7,30.9,180.6
Idaho,2017,1,610,151.2,761.2
Illinois,2017,1,11445.5,1284.1,12729.6
Indiana,2017,1,8016.1,323.9,8340
Iowa,2017,1,2652.9,528.2,3181.1
Kansas,2017,1,2041.7,501.2,2542.9
Kentucky,2017,1,5832.9,67.9,5900.8
Louisiana,2017,1,7501.9,6346.7,13848.6
Maine,2017,1,392.6,148.5,541.1
Maryland,2017,1,1450.8,267.8,1718.6
Massachusetts,2017,1,4955,439.5,5394.5
Michigan,2017,1,12261.4,863.7,13125.1
Minnesota,2017,1,4169.2,232,4401.2
Mississippi,2017,1,2004.5,262.5,2267
Missouri,2017,1,3089.1,233.3,3322.4
Montana,2017,1,186.2,118.1,304.3
Nebraska,2017,1,1363.5,279.1,1642.6
Nevada,2017,1,2091.7,93.1,2184.8
New Hampshire,2017,1,1076.5,44.6,1121.1
New Jersey,2017,1,5500.7,804.2,6304.9
New Mexico,2017,1,499.9,32.4,532.3
New York,2017,1,8618.3,2342.7,10961
North Carolina,2017,1,6359.1,567.6,6926.7
North Dakota,2017,1,476.9,697.8,1174.7
Ohio,2017,1,10139.7,972.3,11112
Oklahoma,2017,1,963.3,116.5,1079.8
Oregon,2017,1,4396.6,499.5,4896.1
Pennsylvania,2017,1,7177.2,1052.3,8229.5
Rhode Island,2017,1,375.6,114.6,490.2
South Carolina,2017,1,6922.4,160.4,7082.8
South Dakota,2017,1,277.8,25.7,303.5
Tennessee,2017,1,5893.8,342,6235.8
Texas,2017,1,41746.5,9357.7,51104.2
Utah,2017,1,2746,139.3,2885.3
Vermont,2017,1,477.2,18.8,496
Virginia,2017,1,2980.9,626.4,3607.3
Washington,2017,1,12848,3412.1,16260.1
West Virginia,2017,1,935.3,842.9,1778.2
Wisconsin,2017,1,4567.8,337.5,4905.3
Wyoming,2017,1,297.4,17.2,314.6
District of Columbia,2017,1,195.2,28.6,223.8
