State,Year,Quarter,Imports_Manufactured_Commodities,Imports_Non_Manufactured_Commodities,Imports_Total_Commodities
Wisconsin,2019,3,7366.2,297.8,7664
Wyoming,2019,3,170.2,195.6,365.8
District of Columbia,2019,3,97.3,26.4,123.7
Alabama,2019,2,6063.1,844.8,6907.9
Alaska,2019,2,527.1,77.6,604.7
Arizona,2019,2,4804.2,1837.9,6642.1
Arkansas,2019,2,2238.3,117,2355.3
California,2019,2,91888.1,12109.5,103997.6
Colorado,2019,2,2543.2,778.1,3321.3
Connecticut,2019,2,4267.4,618,4885.4
Delaware,2019,2,1417.3,1181.1,2598.4
Florida,2019,2,16859.9,3783.7,20643.6
Georgia,2019,2,24943.1,1049.6,25992.7
Hawaii,2019,2,491.9,473.1,965
Idaho,2019,2,1242.6,128.2,1370.8
Illinois,2019,2,31391.6,9941.8,41333.4
Indiana,2019,2,15264.5,894.1,16158.6
Iowa,2019,2,2382.5,258.1,2640.6
Kansas,2019,2,2727.5,426.4,3153.9
Kentucky,2019,2,12629.1,1618.6,14247.7
Louisiana,2019,2,4820.5,3368.8,8189.3
Maine,2019,2,682.2,276.7,958.9
Maryland,2019,2,8675.1,411.5,9086.6
Massachusetts,2019,2,7361.6,1464.7,8826.3
Michigan,2019,2,34923.5,2721.6,37645.1
Minnesota,2019,2,5727.7,2075.5,7803.2
Mississippi,2019,2,3798.1,800.9,4599
Missouri,2019,2,4193.2,1062.5,5255.7
Montana,2019,2,276.8,1026.8,1303.6
Nebraska,2019,2,1055.7,67.5,1123.2
Nevada,2019,2,2640.2,133.1,2773.3
New Hampshire,2019,2,3061.5,120.3,3181.8
New Jersey,2019,2,28923,3792.8,32715.8
New Mexico,2019,2,1048.9,114.2,1163.1
New York,2019,2,26524.8,5939.9,32464.7
North Carolina,2019,2,13579.1,439.2,14018.3
North Dakota,2019,2,622.2,360.3,982.5
Ohio,2019,2,16380.2,1216.9,17597.1
Oklahoma,2019,2,1996.2,1263.1,3259.3
Oregon,2019,2,4418.9,509.9,4928.8
Pennsylvania,2019,2,20883.7,3332.5,24216.2
Rhode Island,2019,2,2713.1,88.9,2802
South Carolina,2019,2,10187.1,562,10749.1
South Dakota,2019,2,269.7,34.6,304.3
Tennessee,2019,2,21237.5,667.9,21905.4
Texas,2019,2,64450,11954.3,76404.3
Utah,2019,2,3424.8,384.5,3809.3
Vermont,2019,2,620.9,205.8,826.7
Virginia,2019,2,7115.1,576.9,7692
Washington,2019,2,9490.9,3391.6,12882.5
West Virginia,2019,2,854.2,39.6,893.8
Wisconsin,2019,2,6465.7,320,6785.7
Wyoming,2019,2,210.3,373,583.3
District of Columbia,2019,2,97.1,60.9,158
Alabama,2019,1,6486.6,713.4,7200
Alaska,2019,1,410.5,22.1,432.6
Arizona,2019,1,4077,1650.4,5727.4
Arkansas,2019,1,2427,107.7,2534.7
California,2019,1,83483,11544.7,95027.7
Colorado,2019,1,2427,611,3038
Connecticut,2019,1,4042,597.9,4639.9
Delaware,2019,1,1330,770.8,2100.8
Florida,2019,1,16735.4,4059,20794.4
Georgia,2019,1,23903.4,914.3,24817.7
Hawaii,2019,1,464.7,399.2,863.9
Idaho,2019,1,1310.2,130.2,1440.4
Illinois,2019,1,28833.7,6891.7,35725.4
Indiana,2019,1,14841,949.2,15790.2
Iowa,2019,1,2302.1,257.6,2559.7
Kansas,2019,1,2557.6,387.7,2945.3
Kentucky,2019,1,12212,1524.7,13736.7
Louisiana,2019,1,4716.8,3078.6,7795.4
Maine,2019,1,650.4,257.8,908.2
Maryland,2019,1,8054.9,444.6,8499.5
Massachusetts,2019,1,7239.8,1327.2,8567
Michigan,2019,1,32128.9,1996.3,34125.2
Minnesota,2019,1,5673.4,1745.6,7419
Mississippi,2019,1,3222.3,627.4,3849.7
Missouri,2019,1,4278,899.1,5177.1
Montana,2019,1,227.1,738.7,965.8
Nebraska,2019,1,1058,69.7,1127.7
Nevada,2019,1,2617.4,126.2,2743.6
New Hampshire,2019,1,2848,110.5,2958.5
New Jersey,2019,1,27177.3,4141.2,31318.5
New Mexico,2019,1,989.3,103.8,1093.1
New York,2019,1,26647.9,5647,32294.9
North Carolina,2019,1,12868.9,495.8,13364.7
North Dakota,2019,1,579.3,283,862.3
Ohio,2019,1,15288.9,1076.6,16365.5
Oklahoma,2019,1,1754.4,863.5,2617.9
Oregon,2019,1,4301.5,510.9,4812.4
Pennsylvania,2019,1,18790,2867.5,21657.5
Rhode Island,2019,1,2825.8,71.3,2897.1
South Carolina,2019,1,9669.5,449.3,10118.8
South Dakota,2019,1,248.6,27.6,276.2
Tennessee,2019,1,19384.6,597,19981.6
Texas,2019,1,64365.9,10010.1,74376
Utah,2019,1,3103.7,326.5,3430.2
Vermont,2019,1,1129.8,264,1393.8
Virginia,2019,1,6233.1,538.6,6771.7
Washington,2019,1,8552.9,3512.9,12065.8
West Virginia,2019,1,807.5,52.7,860.2
Wisconsin,2019,1,6507.7,320.2,6827.9
Wyoming,2019,1,152.7,104.2,256.9
District of Columbia,2019,1,94.7,172.8,267.5
Alabama,2018,4,5920,1000,6920
Alaska,2018,4,469.8,27.2,497
Arizona,2018,4,4413.1,1331.2,5744.3
Arkansas,2018,4,2893.2,127.4,3020.6
California,2018,4,103370.2,12521.7,115891.9
Colorado,2018,4,2633.8,601,3234.8
Connecticut,2018,4,4456.1,603.4,5059.5
Delaware,2018,4,1206.2,819.1,2025.3
Florida,2018,4,17060,4438.4,21498.4
Georgia,2018,4,23953.3,1107.3,25060.6
Hawaii,2018,4,454,466.9,920.9
Idaho,2018,4,1434.5,135.1,1569.6
Illinois,2018,4,32884.1,8956.1,41840.2
Indiana,2018,4,14519.2,897.8,15417
Iowa,2018,4,2385.2,246.4,2631.6
Kansas,2018,4,2773.9,369.3,3143.2
Kentucky,2018,4,13310.1,1457.8,14767.9
Louisiana,2018,4,4960.2,4446.3,9406.5
Maine,2018,4,810.4,252.9,1063.3
Maryland,2018,4,8442.3,483.9,8926.2
Massachusetts,2018,4,8056.6,1383.7,9440.3
Michigan,2018,4,35180.6,2316.2,37496.8
Minnesota,2018,4,7253,1400,8653
Mississippi,2018,4,3629.4,708.4,4337.8
Missouri,2018,4,4317,759.9,5076.9
Montana,2018,4,242.5,788.4,1030.9
Nebraska,2018,4,921.8,64.7,986.5
Nevada,2018,4,2818.9,157.5,2976.4
New Hampshire,2018,4,2602,123.7,2725.7
New Jersey,2018,4,27999.4,4741.1,32740.5
New Mexico,2018,4,605.9,101.6,707.5
New York,2018,4,29494.2,6590.9,36085.1
North Carolina,2018,4,13489.6,580.9,14070.5
North Dakota,2018,4,527.1,289.7,816.8
Ohio,2018,4,16438.4,1238.9,17677.3
Oklahoma,2018,4,1993.3,1215.4,3208.7
Oregon,2018,4,4588.4,589.7,5178.1
Pennsylvania,2018,4,19234.3,3238.6,22472.9
Rhode Island,2018,4,2759.5,97.2,2856.7
South Carolina,2018,4,10043.7,481.6,10525.3
South Dakota,2018,4,244.9,32.1,277
Tennessee,2018,4,22126.9,829.7,22956.6
Texas,2018,4,64574,12435.1,77009.1
Utah,2018,4,3717.7,265.8,3983.5
Vermont,2018,4,632.5,206.3,838.8
Virginia,2018,4,7010.4,671.8,7682.2
Washington,2018,4,11554.3,3199.1,14753.4
West Virginia,2018,4,825.3,43.3,868.6
Wisconsin,2018,4,8147,373.2,8520.2
Wyoming,2018,4,157.8,99.2,257
District of Columbia,2018,4,149.3,44.5,193.8
Alabama,2018,3,5881.8,910,6791.8
Alaska,2018,3,555.8,51.4,607.2
Arizona,2018,3,4262.3,822.3,5084.6
Arkansas,2018,3,2788.8,141.4,2930.2
California,2018,3,99676.5,13066.8,112743.3
Colorado,2018,3,2711.3,810.8,3522.1
Connecticut,2018,3,4370.9,815,5185.9
Delaware,2018,3,1019,1230.2,2249.2
Florida,2018,3,17046.7,3425.2,20471.9
Georgia,2018,3,23942.6,1163.1,25105.7
Hawaii,2018,3,611.9,884.9,1496.8
Idaho,2018,3,1662,97.7,1759.7
Illinois,2018,3,32959,9123.4,42082.4
Indiana,2018,3,14524.1,956.7,15480.8
Iowa,2018,3,2447,203.4,2650.4
Kansas,2018,3,2876,372.4,3248.4
Kentucky,2018,3,12933.7,737.8,13671.5
Louisiana,2018,3,4993.7,4873.4,9867.1
Maine,2018,3,693.6,230.3,923.9
Maryland,2018,3,8152.9,418.8,8571.7
Massachusetts,2018,3,7662.4,1215.2,8877.6
Michigan,2018,3,33202.8,2387.5,35590.3
Minnesota,2018,3,6621,2020,8641
Mississippi,2018,3,3535.6,808.9,4344.5
Missouri,2018,3,4504.3,494.6,4998.9
Montana,2018,3,247.4,1082.3,1329.7
Nebraska,2018,3,1002.3,54.7,1057
Nevada,2018,3,2771.8,117.1,2888.9
New Hampshire,2018,3,3338.8,111.2,3450
New Jersey,2018,3,28617.6,4148.5,32766.1
New Mexico,2018,3,539.4,70.5,609.9
New York,2018,3,29111.2,5815.3,34926.5
North Carolina,2018,3,13470.1,532.5,14002.6
North Dakota,2018,3,551.4,293.2,844.6
Ohio,2018,3,16314.9,1412.3,17727.2
Oklahoma,2018,3,1899,960.9,2859.9
Oregon,2018,3,4273.5,806,5079.5
Pennsylvania,2018,3,17923.5,3643.9,21567.4
Rhode Island,2018,3,2726.2,73.5,2799.7
South Carolina,2018,3,9494.1,431.1,9925.2
South Dakota,2018,3,258,22.4,280.4
Tennessee,2018,3,20501.3,940.3,21441.6
Texas,2018,3,67929.9,14655,82584.9
Utah,2018,3,3654.4,305,3959.4
Vermont,2018,3,657.7,195.8,853.5
Virginia,2018,3,7253.4,527.2,7780.6
Washington,2018,3,10695.9,3391.9,14087.8
West Virginia,2018,3,814.7,66.1,880.8
Wisconsin,2018,3,7625,336.5,7961.5
Wyoming,2018,3,142.3,95.1,237.4
District of Columbia,2018,3,134,37.7,171.7
Alabama,2018,2,5430.9,889.4,6320.3
Alaska,2018,2,426.2,25.4,451.6
Arizona,2018,2,4396.4,1457.8,5854.2
Arkansas,2018,2,2791.3,117.7,2909
California,2018,2,95377.6,12568.3,107945.9
Colorado,2018,2,2613.5,765.6,3379.1
Connecticut,2018,2,4301.6,745.5,5047.1
Delaware,2018,2,1383,994.6,2377.6
Florida,2018,2,16115.8,3449.4,19565.2
Georgia,2018,2,23924,930.8,24854.8
Hawaii,2018,2,527.5,636.9,1164.4
Idaho,2018,2,1752.2,130.4,1882.6
Illinois,2018,2,30062.2,8479.2,38541.4
Indiana,2018,2,14850,1034.1,15884.1
Iowa,2018,2,2612.8,241.6,2854.4
Kansas,2018,2,2734.1,367.3,3101.4
Kentucky,2018,2,12006.8,1402.6,13409.4
Louisiana,2018,2,5078.4,5454.3,10532.7
Maine,2018,2,666.2,276.6,942.8
Maryland,2018,2,8431.9,428.6,8860.5
Massachusetts,2018,2,7415,1488.5,8903.5
Michigan,2018,2,34858.8,2499.7,37358.5
Minnesota,2018,2,6219.9,2038,8257.9
Mississippi,2018,2,3521.4,510.4,4031.8
Missouri,2018,2,4763.6,576.8,5340.4
Montana,2018,2,293.1,842.2,1135.3
Nebraska,2018,2,1153.9,79.4,1233.3
Nevada,2018,2,3221.7,126,3347.7
New Hampshire,2018,2,3104.6,112.8,3217.4
New Jersey,2018,2,28486,4037.7,32523.7
New Mexico,2018,2,555,82.1,637.1
New York,2018,2,28272.9,6227.1,34500
North Carolina,2018,2,12920.8,463.2,13384
North Dakota,2018,2,611.2,322.6,933.8
Ohio,2018,2,16083.3,1322.7,17406
Oklahoma,2018,2,1881.7,884,2765.7
Oregon,2018,2,4440.4,608.6,5049
Pennsylvania,2018,2,18487,3583.8,22070.8
Rhode Island,2018,2,2403.3,62,2465.3
South Carolina,2018,2,9473.4,510.9,9984.3
South Dakota,2018,2,272.6,21.6,294.2
Tennessee,2018,2,19930.5,822.3,20752.8
Texas,2018,2,62734.3,13728.1,76462.4
Utah,2018,2,3474.6,244.5,3719.1
Vermont,2018,2,631.1,239.8,870.9
Virginia,2018,2,6599.6,621,7220.6
Washington,2018,2,10291,3037.9,13328.9
West Virginia,2018,2,867.1,48.8,915.9
Wisconsin,2018,2,7007.4,310.8,7318.2
Wyoming,2018,2,157.5,165.6,323.1
District of Columbia,2018,2,136,36.6,172.6
Alabama,2018,1,5199.5,989.1,6188.6
Alaska,2018,1,291.6,47,338.6
Arizona,2018,1,4133.8,1641.1,5774.9
Arkansas,2018,1,2605.9,57.8,2663.7
California,2018,1,92661.5,11923.5,104585
Colorado,2018,1,2719.8,670.4,3390.2
Connecticut,2018,1,3979,602.9,4581.9
Delaware,2018,1,1280.1,958.2,2238.3
Florida,2018,1,15200.3,3876.8,19077.1
Georgia,2018,1,23005.4,755.4,23760.8
Hawaii,2018,1,328,616.2,944.2
Idaho,2018,1,1564.8,103.8,1668.6
Illinois,2018,1,27519.2,7419.4,34938.6
Indiana,2018,1,14196.9,773.3,14970.2
Iowa,2018,1,2366.8,192,2558.8
Kansas,2018,1,2486.4,346.8,2833.2
Kentucky,2018,1,11485.6,1225,12710.6
Louisiana,2018,1,5875.9,4325.6,10201.5
Maine,2018,1,611.7,293.7,905.4
Maryland,2018,1,8293.4,521.6,8815
Massachusetts,2018,1,7139.9,1127.1,8267
Michigan,2018,1,33974.9,2406.4,36381.3
Minnesota,2018,1,5497.1,1758.4,7255.5
Mississippi,2018,1,3284.3,678.4,3962.7
Missouri,2018,1,4700.2,535.7,5235.9
Montana,2018,1,264.2,939.4,1203.6
Nebraska,2018,1,1089.1,101.2,1190.3
Nevada,2018,1,2499.5,86.6,2586.1
New Hampshire,2018,1,2985.1,117.7,3102.8
New Jersey,2018,1,26481.6,3479.9,29961.5
New Mexico,2018,1,568.7,83.1,651.8
New York,2018,1,25927.9,5694,31621.9
North Carolina,2018,1,11482.2,490.6,11972.8
North Dakota,2018,1,536.2,256.4,792.6
Ohio,2018,1,16058.2,1342.7,17400.9
Oklahoma,2018,1,1752.4,691.3,2443.7
Oregon,2018,1,4154.6,609.6,4764.2
Pennsylvania,2018,1,18589,3875.8,22464.8
Rhode Island,2018,1,2330.8,73,2403.8
South Carolina,2018,1,9366.4,411.5,9777.9
South Dakota,2018,1,233.6,29.7,263.3
Tennessee,2018,1,20230.2,802.3,21032.5
Texas,2018,1,56373.6,12193.2,68566.8
Utah,2018,1,3273.3,207,3480.3
Vermont,2018,1,619,242,861
Virginia,2018,1,6237.5,544.6,6782.1
Washington,2018,1,9250.1,2974.3,12224.4
West Virginia,2018,1,728,41.9,769.9
Wisconsin,2018,1,6842.5,349.9,7192.4
Wyoming,2018,1,140.2,127.8,268
District of Columbia,2018,1,167.3,56.7,224
Alabama,2017,4,5318.8,856.6,6175.4
Alaska,2017,4,390,17.9,407.9
Arizona,2017,4,4140.2,1202.6,5342.8
Arkansas,2017,4,2469.6,51.8,2521.4
California,2017,4,108637.5,11546.8,120184.3
Colorado,2017,4,2592.2,614.9,3207.1
Connecticut,2017,4,4259,611.6,4870.6
Delaware,2017,4,1150.9,826.6,1977.5
Florida,2017,4,16135.6,4301.6,20437.2
Georgia,2017,4,23151.7,848.4,24000.1
Hawaii,2017,4,475.9,741.8,1217.7
Idaho,2017,4,1403.5,118.6,1522.1
Illinois,2017,4,27852.2,6956.9,34809.1
Indiana,2017,4,13606.6,766.6,14373.2
Iowa,2017,4,2162.2,164.5,2326.7
Kansas,2017,4,2419.7,383.7,2803.4
Kentucky,2017,4,11704.1,798.6,12502.7
Louisiana,2017,4,4617.6,4166.4,8784
Maine,2017,4,646.4,254.2,900.6
Maryland,2017,4,8178.3,429.5,8607.8
Massachusetts,2017,4,7739.2,1162.3,8901.5
Michigan,2017,4,34197.2,2366.2,36563.4
Minnesota,2017,4,6390.3,1823.6,8213.9
Mississippi,2017,4,3115.5,537.1,3652.6
Missouri,2017,4,4402.9,379.6,4782.5
Montana,2017,4,204.9,854.5,1059.4
Nebraska,2017,4,851.8,57.4,909.2
Nevada,2017,4,3135.8,85.6,3221.4
New Hampshire,2017,4,2870.2,113.7,2983.9
New Jersey,2017,4,24828.7,4057,28885.7
New Mexico,2017,4,542.3,88.8,631.1
New York,2017,4,27622.5,6993.7,34616.2
North Carolina,2017,4,11678.1,573.8,12251.9
North Dakota,2017,4,530.3,234.4,764.7
Ohio,2017,4,15827.5,1431.9,17259.4
Oklahoma,2017,4,1923.5,632.3,2555.8
Oregon,2017,4,3987,625.7,4612.7
Pennsylvania,2017,4,17960.2,3472.1,21432.3
Rhode Island,2017,4,2868,65.2,2933.2
South Carolina,2017,4,9330.7,417.1,9747.8
South Dakota,2017,4,256.1,34,290.1
Tennessee,2017,4,21399.3,854.7,22254
Texas,2017,4,57564.1,11825.4,69389.5
Utah,2017,4,3591.5,237.5,3829
Vermont,2017,4,654.5,273.3,927.8
Virginia,2017,4,6852,730.3,7582.3
Washington,2017,4,10430.9,2857.9,13288.8
West Virginia,2017,4,776.3,45,821.3
Wisconsin,2017,4,7418.5,331.2,7749.7
Wyoming,2017,4,112.1,130.5,242.6
District of Columbia,2017,4,110.8,33.1,143.9
Alabama,2017,3,5141.7,755.8,5897.5
Alaska,2017,3,439.9,61,500.9
Arizona,2017,3,4092.8,738.8,4831.6
Arkansas,2017,3,2691.5,61.7,2753.2
California,2017,3,101600.6,10327.4,111928
Colorado,2017,3,2609.9,710,3319.9
Connecticut,2017,3,4120.6,620.2,4740.8
Delaware,2017,3,1326.3,539.1,1865.4
Florida,2017,3,15094.7,3185.9,18280.6
Georgia,2017,3,22959.7,810.1,23769.8
Hawaii,2017,3,359.2,555.9,915.1
Idaho,2017,3,1462.2,84.9,1547.1
Illinois,2017,3,28974,6448.2,35422.2
Indiana,2017,3,12530.5,869.8,13400.3
Iowa,2017,3,2163.4,202.2,2365.6
Kansas,2017,3,2340.4,407.9,2748.3
Kentucky,2017,3,11385.1,972.9,12358
Louisiana,2017,3,4949.7,4102.3,9052
Maine,2017,3,618.1,212.5,830.6
Maryland,2017,3,7677.4,364.3,8041.7
Massachusetts,2017,3,7617.4,1261.5,8878.9
Michigan,2017,3,31173.5,2021.2,33194.7
Minnesota,2017,3,5756.6,1744.4,7501
Mississippi,2017,3,3183,786.4,3969.4
Missouri,2017,3,4448.5,366.3,4814.8
Montana,2017,3,227.9,846.8,1074.7
Nebraska,2017,3,861.3,64.7,926
Nevada,2017,3,2816.4,77.8,2894.2
New Hampshire,2017,3,2852,119.4,2971.4
New Jersey,2017,3,25872.5,3388.6,29261.1
New Mexico,2017,3,507.5,47.1,554.6
New York,2017,3,26322.7,4728.1,31050.8
North Carolina,2017,3,11687.6,666.2,12353.8
North Dakota,2017,3,470.9,249.7,720.6
Ohio,2017,3,15823.1,1357.5,17180.6
Oklahoma,2017,3,1854.7,644.9,2499.6
Oregon,2017,3,3983.9,622.3,4606.2
Pennsylvania,2017,3,17677.8,3209.8,20887.6
Rhode Island,2017,3,2425.5,61.6,2487.1
South Carolina,2017,3,8793.5,436.8,9230.3
South Dakota,2017,3,267.4,20.5,287.9
Tennessee,2017,3,19095.8,762.4,19858.2
Texas,2017,3,54246.9,10348.1,64595
Utah,2017,3,3268.7,220.2,3488.9
Vermont,2017,3,659.3,245.6,904.9
Virginia,2017,3,6661.8,652.6,7314.4
Washington,2017,3,10168.2,2974.9,13143.1
West Virginia,2017,3,880.9,47.7,928.6
Wisconsin,2017,3,6555.1,275.8,6830.9
Wyoming,2017,3,113.8,100.1,213.9
District of Columbia,2017,3,86.8,30,116.8
Alabama,2017,2,5173,722.6,5895.6
Alaska,2017,2,391.2,51.5,442.7
Arizona,2017,2,3957.8,1290,5247.8
Arkansas,2017,2,1847,58.8,1905.8
California,2017,2,98385.8,10767.4,109153.2
Colorado,2017,2,2719.3,699.1,3418.4
Connecticut,2017,2,3949.5,801.5,4751
Delaware,2017,2,1340.9,570.8,1911.7
Florida,2017,2,14945.1,3459.3,18404.4
Georgia,2017,2,21934,819.8,22753.8
Hawaii,2017,2,361.2,493,854.2
Idaho,2017,2,1318,109.4,1427.4
Illinois,2017,2,28438,6800.5,35238.5
Indiana,2017,2,12820.2,939.7,13759.9
Iowa,2017,2,2038.2,252.7,2290.9
Kansas,2017,2,2278,445.3,2723.3
Kentucky,2017,2,10922.3,697.3,11619.6
Louisiana,2017,2,4805.9,4604.6,9410.5
Maine,2017,2,575.1,261.7,836.8
Maryland,2017,2,7658.2,457.6,8115.8
Massachusetts,2017,2,7246.5,1439.1,8685.6
Michigan,2017,2,34002.6,2231.8,36234.4
Minnesota,2017,2,5366.9,1761.5,7128.4
Mississippi,2017,2,3116.9,754.4,3871.3
Missouri,2017,2,4343.7,373.4,4717.1
Montana,2017,2,291.8,787.4,1079.2
Nebraska,2017,2,842.4,78.5,920.9
Nevada,2017,2,3533,132.3,3665.3
New Hampshire,2017,2,2609.2,122.2,2731.4
New Jersey,2017,2,24733.9,3217.3,27951.2
New Mexico,2017,2,497.4,50.4,547.8
New York,2017,2,25757.9,5933.4,31691.3
North Carolina,2017,2,11273.3,510.7,11784
North Dakota,2017,2,500.6,148.8,649.4
Ohio,2017,2,15233.5,1386.4,16619.9
Oklahoma,2017,2,1762.4,725.4,2487.8
Oregon,2017,2,3827.6,421.1,4248.7
Pennsylvania,2017,2,17510.8,3287.8,20798.6
Rhode Island,2017,2,2033.7,55.5,2089.2
South Carolina,2017,2,9007.3,435.2,9442.5
South Dakota,2017,2,249,27.3,276.3
Tennessee,2017,2,17278,817.7,18095.7
Texas,2017,2,53579.8,13075.7,66655.5
Utah,2017,2,3246.1,236.3,3482.4
Vermont,2017,2,624.9,212.4,837.3
Virginia,2017,2,6893.4,585.7,7479.1
Washington,2017,2,8999.3,3129.3,12128.6
West Virginia,2017,2,798.4,52.1,850.5
Wisconsin,2017,2,6547.9,284.6,6832.5
Wyoming,2017,2,104.1,101.2,205.3
District of Columbia,2017,2,91.9,26.9,118.8
Alabama,2017,1,4980,692.8,5672.8
Alaska,2017,1,324,54.3,378.3
Arizona,2017,1,3847.2,1298.7,5145.9
Arkansas,2017,1,2062,40.2,2102.2
California,2017,1,88680.9,10768.4,99449.3
Colorado,2017,1,2309,706,3015
Connecticut,2017,1,3584.7,747.2,4331.9
Delaware,2017,1,1135.7,777.2,1912.9
Florida,2017,1,14491.8,3767.9,18259.7
Georgia,2017,1,20050.8,838.1,20888.9
Hawaii,2017,1,343.1,484.8,827.9
Idaho,2017,1,1047.7,98.3,1146
Illinois,2017,1,23990.1,6534.9,30525
Indiana,2017,1,12216.2,817.1,13033.3
Iowa,2017,1,1992,256.9,2248.9
Kansas,2017,1,2157.2,345.5,2502.7
Kentucky,2017,1,9994.2,599.5,10593.7
Louisiana,2017,1,5096.3,5293.6,10389.9
Maine,2017,1,508.1,230.4,738.5
Maryland,2017,1,7110.5,448.5,7559
Massachusetts,2017,1,6828.5,1168.3,7996.8
Michigan,2017,1,32196.3,2084.7,34281
Minnesota,2017,1,4792.7,2148.4,6941.1
Mississippi,2017,1,2729.4,758,3487.4
Missouri,2017,1,4090.9,427.5,4518.4
Montana,2017,1,184.4,894.9,1079.3
Nebraska,2017,1,931.2,70.2,1001.4
Nevada,2017,1,2389.2,115.5,2504.7
New Hampshire,2017,1,2577.6,93.6,2671.2
New Jersey,2017,1,23729.4,2839.2,26568.6
New Mexico,2017,1,480.8,63.2,544
New York,2017,1,24431.3,5140.7,29572
North Carolina,2017,1,10443.6,551.3,10994.9
North Dakota,2017,1,385.3,216.4,601.7
Ohio,2017,1,15222.1,1336.3,16558.4
Oklahoma,2017,1,1470.5,691.7,2162.2
Oregon,2017,1,4460.7,401.5,4862.2
Pennsylvania,2017,1,16813.9,3380.6,20194.5
Rhode Island,2017,1,1798.3,61.2,1859.5
South Carolina,2017,1,8669,414.4,9083.4
South Dakota,2017,1,217.2,28.1,245.3
Tennessee,2017,1,18021.4,781,18802.4
Texas,2017,1,49802.2,12846.7,62648.9
Utah,2017,1,2894.2,216.6,3110.8
Vermont,2017,1,720.2,255.1,975.3
Virginia,2017,1,6105.7,603.9,6709.6
Washington,2017,1,8563.7,2917.6,11481.3
West Virginia,2017,1,764,32.7,796.7
Wisconsin,2017,1,6053,289.7,6342.7
Wyoming,2017,1,94.4,102.4,196.8
District of Columbia,2017,1,75,27.5,102.5
